cluster_id,cluster_label,cluster_name,descripcion_corta,interpretacion_tecnica,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,has_firms_rate,has_conafor_rate,has_smn_rate,perfil_temporal,perfil_espacial,uso_en_app,color_sugerido,orden_visualizacion,flujo_modelo,modelo_final,nota_interpretacion
10,Cluster 10,Alta actividad térmica con mayor asociación a incendios registrados,"Cluster 10 con actividad FIRMS alta, presencia CONAFOR alta y cobertura SMN alta (FIRMS=0.2853, CONAFOR=0.0252, SMN=0.9746).","El cluster 10 agrupa observaciones municipio-día con nivel alta de detección satelital, nivel alta de coincidencia con registros históricos de incendios y nivel alta de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Alta,Alta,Alta,0.285284,0.025216,0.974617,1.0,3,"Priorizar en mapas, filtros y panel de detalle.",#B91C1C,1,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
7,Cluster 7,Alta actividad térmica con mayor asociación a incendios registrados,"Cluster 7 con actividad FIRMS alta, presencia CONAFOR alta y cobertura SMN baja (FIRMS=0.2385, CONAFOR=0.0191, SMN=0.9585).","El cluster 7 agrupa observaciones municipio-día con nivel alta de detección satelital, nivel alta de coincidencia con registros históricos de incendios y nivel baja de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Alta,Alta,Baja,0.238538,0.019075,0.95846,5.0,8,"Priorizar en mapas, filtros y panel de detalle.",#B91C1C,1,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
5,Cluster 5,Alta actividad térmica con baja confirmación histórica,"Cluster 5 con actividad FIRMS alta, presencia CONAFOR media y cobertura SMN media (FIRMS=0.1576, CONAFOR=0.0083, SMN=0.9613).","El cluster 5 agrupa observaciones municipio-día con nivel alta de detección satelital, nivel media de coincidencia con registros históricos de incendios y nivel media de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Alta,Media,Media,0.157615,0.008348,0.961274,5.0,14,"Priorizar en mapas, filtros y panel de detalle.",#EA580C,2,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
8,Cluster 8,Alta actividad térmica con baja confirmación histórica,"Cluster 8 con actividad FIRMS alta, presencia CONAFOR baja y cobertura SMN baja (FIRMS=0.1482, CONAFOR=0.0060, SMN=0.9510).","El cluster 8 agrupa observaciones municipio-día con nivel alta de detección satelital, nivel baja de coincidencia con registros históricos de incendios y nivel baja de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Alta,Baja,Baja,0.148211,0.005969,0.951041,1.0,30,"Priorizar en mapas, filtros y panel de detalle.",#EA580C,2,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
3,Cluster 3,Actividad térmica intermedia,"Cluster 3 con actividad FIRMS media, presencia CONAFOR media y cobertura SMN baja (FIRMS=0.1287, CONAFOR=0.0081, SMN=0.9360).","El cluster 3 agrupa observaciones municipio-día con nivel media de detección satelital, nivel media de coincidencia con registros históricos de incendios y nivel baja de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Media,Media,Baja,0.128707,0.008123,0.935963,1.0,31,Mostrar como patrón intermedio para comparación espacial y temporal.,#D97706,3,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
11,Cluster 11,Actividad térmica intermedia,"Cluster 11 con actividad FIRMS media, presencia CONAFOR baja y cobertura SMN media (FIRMS=0.1212, CONAFOR=0.0060, SMN=0.9610).","El cluster 11 agrupa observaciones municipio-día con nivel media de detección satelital, nivel baja de coincidencia con registros históricos de incendios y nivel media de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Media,Baja,Media,0.121186,0.00603,0.961032,5.0,16,Mostrar como patrón intermedio para comparación espacial y temporal.,#D97706,3,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
1,Cluster 1,Actividad térmica media con incendios registrados relevantes,"Cluster 1 con actividad FIRMS media, presencia CONAFOR alta y cobertura SMN media (FIRMS=0.1178, CONAFOR=0.0103, SMN=0.9598).","El cluster 1 agrupa observaciones municipio-día con nivel media de detección satelital, nivel alta de coincidencia con registros históricos de incendios y nivel media de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Media,Alta,Media,0.117818,0.010303,0.959781,5.0,14,"Priorizar en mapas, filtros y panel de detalle.",#D97706,3,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
2,Cluster 2,Baja actividad térmica,"Cluster 2 con actividad FIRMS baja, presencia CONAFOR media y cobertura SMN baja (FIRMS=0.1164, CONAFOR=0.0090, SMN=0.9592).","El cluster 2 agrupa observaciones municipio-día con nivel baja de detección satelital, nivel media de coincidencia con registros históricos de incendios y nivel baja de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Baja,Media,Baja,0.116388,0.009021,0.959152,12.0,14,Usar como contexto base o zona de baja actividad relativa.,#2563EB,4,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
6,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,"Cluster 6 con actividad FIRMS baja, presencia CONAFOR alta y cobertura SMN alta (FIRMS=0.1029, CONAFOR=0.0118, SMN=0.9661).","El cluster 6 agrupa observaciones municipio-día con nivel baja de detección satelital, nivel alta de coincidencia con registros históricos de incendios y nivel alta de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Baja,Alta,Alta,0.102892,0.011847,0.966057,1.0,7,"Priorizar en mapas, filtros y panel de detalle.",#2563EB,4,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
4,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,"Cluster 4 con actividad FIRMS baja, presencia CONAFOR baja y cobertura SMN alta (FIRMS=0.0823, CONAFOR=0.0072, SMN=0.9616).","El cluster 4 agrupa observaciones municipio-día con nivel baja de detección satelital, nivel baja de coincidencia con registros históricos de incendios y nivel alta de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Baja,Baja,Alta,0.082289,0.007179,0.961592,1.0,20,Usar como contexto base o zona de baja actividad relativa.,#2563EB,4,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
9,Cluster 9,Baja actividad térmica con alta cobertura meteorológica,"Cluster 9 con actividad FIRMS baja, presencia CONAFOR baja y cobertura SMN alta (FIRMS=0.0545, CONAFOR=0.0013, SMN=0.9941).","El cluster 9 agrupa observaciones municipio-día con nivel baja de detección satelital, nivel baja de coincidencia con registros históricos de incendios y nivel alta de disponibilidad meteorológica. Debe interpretarse como un patrón multivariable generado por PCA + SOM + KMeans, no como una predicción directa de incendio.",Baja,Baja,Alta,0.054486,0.00128,0.994078,5.0,5,Usar como contexto base o zona de baja actividad relativa.,#2563EB,4,municipio_dia,PCA + SOM + KMeans,Cluster interpretativo no supervisado; no representa predicción ni confirmación individual de incendio.
