archivo,existe,familia_infys,registros,columnas_total,ciclo_detectado_archivo,granularidad_probable,integracion_recomendada,columnas_administrativas_detectadas,columnas_municipales_detectadas,columnas_cvegeo_detectadas,columnas_coordenadas_detectadas,columnas_temporales_ciclo_detectadas,columnas_sitio_conglomerado_detectadas,n_columnas_numericas_muestra,n_columnas_texto_muestra,faltantes_clave_muestra,observacion_metodologica
infys_superficie_base_limpio.csv,si,superficie,1677,14,,estatal,entidad_contexto,cve_ent | nom_ent,,,,ciclo_infys,,4,10,"{'ciclo_infys': 0, 'cve_ent': 0, 'nom_ent': 0}","Puede integrarse al flujo complementario entidad-día como contexto estructural/ciclo, sin duplicarse todavía en la base diaria."
infys_superficie_2015_2020_estatal_limpio.csv,si,superficie,32,7,2015-2020,estatal,entidad_contexto,cve_ent | nom_ent,,,,ciclo_infys,,2,5,"{'ciclo_infys': 0, 'cve_ent': 0, 'nom_ent': 0}","Puede integrarse al flujo complementario entidad-día como contexto estructural/ciclo, sin duplicarse todavía en la base diaria."
infys_superficie_2015_2020_detalle_limpio.csv,si,superficie,1906,10,2015-2020,estatal,entidad_contexto,cve_ent | nom_ent,,,,ciclo_infys,,2,8,"{'ciclo_infys': 0, 'cve_ent': 0, 'nom_ent': 0}","Puede integrarse al flujo complementario entidad-día como contexto estructural/ciclo, sin duplicarse todavía en la base diaria."
infys_secciones_conglomerados_2004_2009_limpio.csv,si,secciones_conglomerados_sitios,24630,46,2004-2009,municipal_textual,municipio_contexto_y_entidad_contexto_derivado,cve_ent | estado,cve_mun | municipio,,latitud | longitud | x | y,anio | ciclo_infys,conglomerado | id_conglomerado | id_sitio,20,26,"{'anio': 0, 'ciclo_infys': 0, 'conglomerado': 0, 'cve_ent': 5000, 'cve_mun': 5000, 'estado': 0, 'id_conglomerado': 0, 'id_sitio': 0, 'latitud': 526, 'longitud': 526, 'municipio': 0, 'x': 526, 'y': 526}",Puede alimentar el flujo principal municipal y derivarse a entidad si las claves o nombres se validan contra catálogos.
infys_secciones_sitios_2004_2009_limpio.csv,si,secciones_conglomerados_sitios,81665,34,2004-2009,municipal_textual,municipio_contexto_y_entidad_contexto_derivado,cve_ent | estado,cve_mun | municipio,,latitud | longitud | x | y,anio | ciclo_infys,id_sitio | idconglomerado,22,12,"{'anio': 0, 'ciclo_infys': 0, 'cve_ent': 5000, 'cve_mun': 5000, 'estado': 0, 'id_sitio': 0, 'idconglomerado': 0, 'latitud': 0, 'longitud': 0, 'municipio': 0, 'x': 0, 'y': 0}",Puede alimentar el flujo principal municipal y derivarse a entidad si las claves o nombres se validan contra catálogos.
infys_secciones_conglomerados_2009_2014_limpio.csv,si,secciones_conglomerados_sitios,24889,38,2009-2014,municipal_textual,municipio_contexto_y_entidad_contexto_derivado,cve_ent | estado,cve_mun | municipio,,latitud | longitud | x | y,anio | ciclo_infys,conglomerado | id_conglomerado | id_sitio,21,17,"{'anio': 0, 'ciclo_infys': 0, 'conglomerado': 0, 'cve_ent': 5000, 'cve_mun': 5000, 'estado': 0, 'id_conglomerado': 0, 'id_sitio': 0, 'latitud': 34, 'longitud': 34, 'municipio': 0, 'x': 34, 'y': 34}",Puede alimentar el flujo principal municipal y derivarse a entidad si las claves o nombres se validan contra catálogos.
infys_secciones_sitios_2009_2014_limpio.csv,si,secciones_conglomerados_sitios,88393,39,2009-2014,municipal_textual,municipio_contexto_y_entidad_contexto_derivado,cve_ent | estado,cve_mun | municipio,,latitud | longitud | x | y,anio | ciclo_infys,conglomerado | id_conglomerado | id_sitio | sitio,27,12,"{'anio': 0, 'ciclo_infys': 0, 'conglomerado': 0, 'cve_ent': 5000, 'cve_mun': 5000, 'estado': 0, 'id_conglomerado': 0, 'id_sitio': 0, 'latitud': 0, 'longitud': 0, 'municipio': 0, 'sitio': 0, 'x': 0, 'y': 0}",Puede alimentar el flujo principal municipal y derivarse a entidad si las claves o nombres se validan contra catálogos.
infys_secciones_conglomerados_2015_2020_limpio.csv,si,secciones_conglomerados_sitios,26220,71,2015-2020,municipal_textual,municipio_contexto_y_entidad_contexto_derivado,cve_ent | estado,cve_mun | municipio,,latitud | longitud,anio | ciclo_infys,id_sitio | idconglomerado,38,33,"{'anio': 2790, 'ciclo_infys': 0, 'cve_ent': 0, 'cve_mun': 0, 'estado': 0, 'id_sitio': 2790, 'idconglomerado': 0, 'latitud': 3207, 'longitud': 3207, 'municipio': 0}",Puede alimentar el flujo principal municipal y derivarse a entidad si las claves o nombres se validan contra catálogos.
infys_secciones_sitios_2015_2020_limpio.csv,si,secciones_conglomerados_sitios,43828,43,2015-2020,municipal_textual,municipio_contexto_y_entidad_contexto_derivado,cve_ent | estado,cve_mun | municipio,,latitud | longitud,anio | ciclo_infys,id_sitio | idconglomerado,29,14,"{'anio': 0, 'ciclo_infys': 0, 'cve_ent': 5000, 'cve_mun': 5000, 'estado': 0, 'id_sitio': 0, 'idconglomerado': 0, 'latitud': 177, 'longitud': 177, 'municipio': 5000}",Puede alimentar el flujo principal municipal y derivarse a entidad si las claves o nombres se validan contra catálogos.
infys_deforestacion_superficie_nacional_limpio.csv,si,superficie,840,7,,nacional,no_integrar_a_flujos_diarios,,,,,anio,,2,5,{'anio': 0},"Dataset nacional; puede documentarse como contexto general, pero no debe asignarse a municipio-día ni entidad-día sin supuestos adicionales."
